,artist_name,song_title,identifier,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,cluster_k30
0,Harry Styles,As It Was,hot100,0.449,0.023,-24.423,0.0336,0.903,0.0187,0.277,90.071,0
1,Jack Harlow,First Class,hot100,0.215,0.71,-7.285,0.0459,0.0143,1.97e-05,0.415,160.313,15
2,Lizzo,About Damn Time,hot100,0.709,0.357,-9.289,0.214,0.478,0.000294,0.544,75.494,26
3,Glass Animals,Heat Waves,hot100,0.797,0.616,-10.229,0.375,0.762,0.000293,0.451,103.071,26
4,Latto,Big Energy,hot100,0.708,0.673,-4.163,0.0585,0.499,0.000233,0.311,136.969,21
5,Harry Styles,Late Night Talking,hot100,0.833,0.652,-6.942,0.0762,0.00161,0.0985,0.405,158.022,21
6,Bad Bunny,Titi Me Pregunto,hot100,0.591,0.814,-4.986,0.0468,0.015,0.0,0.815,149.9,1
7,Morgan Wallen,Wasted On You,hot100,0.417,0.202,-10.976,0.0357,0.935,0.0,0.323,118.029,24
8,Bad Bunny,Moscow Mule,hot100,0.547,0.65,-13.62,0.324,0.444,0.0,0.684,144.81,16
9,Justin Bieber,Ghost,hot100,0.876,0.498,-7.511,0.0478,0.0706,0.0,0.428,122.016,21
10,Dove Cameron,Boyfriend,hot100,0.852,0.421,-9.153,0.208,0.428,2.28e-06,0.457,95.977,6
11,Doja Cat,Woman,hot100,0.555,0.536,-8.233,0.0452,0.669,0.0,0.203,118.057,12
12,Ed Sheeran,Bad Habits,hot100,0.872,0.588,-6.276,0.0492,0.275,0.0,0.93,142.004,3
13,Em Beihold,Numb Little Bug,hot100,0.707,0.811,-5.298,0.0304,0.311,0.0152,0.899,113.971,22
14,Kodak Black,Super Gremlin,hot100,0.721,0.479,-9.669,0.226,0.321,0.00156,0.902,164.948,3
15,Morgan Wallen,You Proof,hot100,0.829,0.644,-7.696,0.0427,0.354,0.0511,0.896,105.993,22
16,NEW,True Love,hot100,0.535,0.618,-5.668,0.382,0.0245,0.0,0.211,165.991,16
17,Parmalee,Take My Name,hot100,0.821,0.636,-4.479,0.169,0.142,0.0,0.163,127.961,21
18,Ed Sheeran,Shivers,hot100,0.327,0.472,-33.939,0.0453,0.841,0.98,0.0339,57.237,27
19,Lil Nas X,Thats What I Want,hot100,0.575,0.644,-5.68,0.0309,0.271,0.0,0.626,80.07,20
20,Elton John & Dua Lipa,Cold Heart (PNAU Remix),hot100,0.529,0.695,-6.174,0.0278,0.488,1.24e-05,0.514,139.993,12
21,Bad Bunny,Despues de La Playa,hot100,0.542,0.82,-6.073,0.0432,0.000682,0.000136,0.702,124.85,1
22,Walker Hayes,AA,hot100,0.576,0.457,-6.473,0.0304,0.143,3.05e-05,0.301,138.984,23
23,Jason Aldean,Trouble With A Heartbreak,hot100,0.603,0.691,-5.805,0.0372,0.0248,0.0,0.577,147.148,1
24,Future,Puffin On Zootiez,hot100,0.787,0.546,-7.094,0.0532,0.305,4.55e-05,0.222,93.05,28
25,Karol G,Provenza,hot100,0.645,0.721,-4.394,0.0336,0.357,0.143,0.88,182.928,3
26,Cody Johnson,'Til You Can't,hot100,0.316,0.816,-11.118,0.119,0.00148,0.0,0.39,172.149,15
27,Kendrick Lamar,N95,hot100,0.559,0.535,-7.723,0.039,0.719,0.000143,0.402,141.96,12
28,Zach Bryan,Something In The Orange,hot100,0.464,0.755,-5.707,0.0354,0.00838,0.0,0.449,155.973,15
29,Harry Styles,Music For A Sushi Restaurant,hot100,0.782,0.733,-5.112,0.399,0.269,0.0,0.599,144.098,16
30,Harry Styles,Matilda,hot100,0.524,0.643,-6.055,0.0297,0.451,0.0,0.397,135.962,12
31,The Kid LAROI,Thousand Miles,hot100,0.519,0.617,-4.287,0.0313,0.0387,0.0,0.222,147.708,23
32,Tate McRae,She's All I Wanna Be,hot100,0.775,0.736,-8.072,0.247,0.319,0.00116,0.362,100.988,6
33,Lil Baby,In A Minute,hot100,0.907,0.577,-6.737,0.0767,0.438,3.19e-05,0.801,140.07,3
34,Harry Styles,Daylight,hot100,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.234,98.047,28
35,Scotty McCreery,Damn Strait,hot100,0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.793,91.942,22
36,Doja Cat,Get Into It (Yuh),hot100,0.523,0.64,-6.15,0.0295,0.0512,5.52e-05,0.48,144.022,11
37,Bad Bunny,Efecto,hot100,0.686,0.445,-7.189,0.0398,0.484,0.00144,0.626,145.5,3
38,Kendrick Lamar & Kodak Black,Silent Hill,hot100,0.643,0.605,-5.968,0.297,0.0336,0.0,0.145,84.216,6
39,"Kendrick Lamar, Blxst & Amanda Reifer",Die Hard,hot100,0.614,0.644,-5.372,0.0426,0.0134,7.07e-06,0.651,160.036,10
