,artist_name,song_title,songs_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Crywank,Only Everyone Can Judge Me,0zgTmQKlcGxZxHo3ObjnQx,0.721,0.46,10,-11.885,0,0.283,0.0872,0.000379,0.0959,0.576,89.979,audio_features,0IHBwwlqEOtj4qukhAoMTC,spotify:track:0IHBwwlqEOtj4qukhAoMTC,https://api.spotify.com/v1/tracks/0IHBwwlqEOtj4qukhAoMTC,https://api.spotify.com/v1/audio-analysis/0IHBwwlqEOtj4qukhAoMTC,170361,4
1,Jazmine Sullivan,In Love With Another Man,1xu91y5jf13yxAssdfsbPt,0.395,0.123,10,-16.099,0,0.0329,0.958,0.952,0.124,0.156,73.959,audio_features,3KJeOdlwj5W0c9XIrjqzY0,spotify:track:3KJeOdlwj5W0c9XIrjqzY0,https://api.spotify.com/v1/tracks/3KJeOdlwj5W0c9XIrjqzY0,https://api.spotify.com/v1/audio-analysis/3KJeOdlwj5W0c9XIrjqzY0,387667,4
2,Rival Sons,Back In The Woods,4r9ZPOyVV5abeHjOsuFsaW,0.361,0.977,1,-5.452,0,0.108,0.000104,0.249,0.319,0.269,114.944,audio_features,5C5LhGFGrHmdHjDtvdjTYa,spotify:track:5C5LhGFGrHmdHjDtvdjTYa,https://api.spotify.com/v1/tracks/5C5LhGFGrHmdHjDtvdjTYa,https://api.spotify.com/v1/audio-analysis/5C5LhGFGrHmdHjDtvdjTYa,167286,4
3,TRESOR,Aphrodite,60q1qCrbsMcz1Dj0mBTjhH,0.811,0.324,0,-14.555,1,0.123,0.00354,0.002,0.0544,0.886,142.422,audio_features,4EgVhvG6zB6uSckhHKprBM,spotify:track:4EgVhvG6zB6uSckhHKprBM,https://api.spotify.com/v1/tracks/4EgVhvG6zB6uSckhHKprBM,https://api.spotify.com/v1/audio-analysis/4EgVhvG6zB6uSckhHKprBM,216120,4
4,Planetshakers,Like A Fire,5HOgqiUikXWGzHDw2tbGRR,0.573,0.759,0,-4.646,1,0.0271,0.00575,0.0,0.12,0.234,107.977,audio_features,0lDg8siIkafxYPlf0um4HV,spotify:track:0lDg8siIkafxYPlf0um4HV,https://api.spotify.com/v1/tracks/0lDg8siIkafxYPlf0um4HV,https://api.spotify.com/v1/audio-analysis/0lDg8siIkafxYPlf0um4HV,236293,4
5,Sticky Fingers,I Ain't Running,2ksTlhVGe2Obiu1yNgJnHF,0.322,0.199,4,-17.371,1,0.0455,0.94,0.903,0.0797,0.363,88.746,audio_features,0RXG9tS5Y8qPhovPFpplK1,spotify:track:0RXG9tS5Y8qPhovPFpplK1,https://api.spotify.com/v1/tracks/0RXG9tS5Y8qPhovPFpplK1,https://api.spotify.com/v1/audio-analysis/0RXG9tS5Y8qPhovPFpplK1,446707,4
6,Big Sean,Guap,7G0PgkkbavF7Rh4zNrUxH0,0.524,0.821,5,-6.519,1,0.124,0.00419,0.154,0.369,0.875,109.086,audio_features,4EITMnFZ3LzjOuyath6EGU,spotify:track:4EITMnFZ3LzjOuyath6EGU,https://api.spotify.com/v1/tracks/4EITMnFZ3LzjOuyath6EGU,https://api.spotify.com/v1/audio-analysis/4EITMnFZ3LzjOuyath6EGU,118693,4
7,Coheed and Cambria,It Walks Among Us,7AWljUlltUXXC1eUrlHdNb,0.785,0.566,1,-8.488,1,0.438,0.00816,9.05e-05,0.799,0.611,160.01,audio_features,2A7ZlQRIhZhsJC7bk7hGNB,spotify:track:2A7ZlQRIhZhsJC7bk7hGNB,https://api.spotify.com/v1/tracks/2A7ZlQRIhZhsJC7bk7hGNB,https://api.spotify.com/v1/audio-analysis/2A7ZlQRIhZhsJC7bk7hGNB,311773,4
8,Taylor Bennett,Broad Shoulders (feat. Chance the Rapper),6m3ZXs465Rt4Tc1iiLktXL,0.671,0.614,6,-7.544,0,0.0362,0.00321,0.0315,0.111,0.344,151.006,audio_features,0jpoRHaMiyKNnCectzcXTv,spotify:track:0jpoRHaMiyKNnCectzcXTv,https://api.spotify.com/v1/tracks/0jpoRHaMiyKNnCectzcXTv,https://api.spotify.com/v1/audio-analysis/0jpoRHaMiyKNnCectzcXTv,216707,4
9,Van William,Revolution (feat. First Aid Kit),0j1bpDEg44YsqDtvqBBJul,0.4,0.613,4,-6.329,1,0.0338,0.0712,0.0114,0.227,0.521,207.576,audio_features,4r1AS456lSXXXv6aVpDT4e,spotify:track:4r1AS456lSXXXv6aVpDT4e,https://api.spotify.com/v1/tracks/4r1AS456lSXXXv6aVpDT4e,https://api.spotify.com/v1/audio-analysis/4r1AS456lSXXXv6aVpDT4e,240400,4
10,Domo Genesis,Wanderer,7KoX0myQwA6dc6yCX8R1wS,0.53,0.946,1,-3.856,1,0.0478,0.000498,2.94e-05,0.142,0.597,103.004,audio_features,6LlulaQFzRuypfDLBPCWUq,spotify:track:6LlulaQFzRuypfDLBPCWUq,https://api.spotify.com/v1/tracks/6LlulaQFzRuypfDLBPCWUq,https://api.spotify.com/v1/audio-analysis/6LlulaQFzRuypfDLBPCWUq,235040,4
11,Helado Negro,Come Be Me,1pwJmHca90419OsaDLc9io,0.546,0.673,9,-4.419,1,0.0323,0.0151,0.0,0.165,0.964,208.106,audio_features,1aQsmA0kB65bp19qG8WfxD,spotify:track:1aQsmA0kB65bp19qG8WfxD,https://api.spotify.com/v1/tracks/1aQsmA0kB65bp19qG8WfxD,https://api.spotify.com/v1/audio-analysis/1aQsmA0kB65bp19qG8WfxD,193040,4
12,Mørk,The Right Place,2W56i2rXzSWkeY4kBhaTQM,0.723,0.458,0,-12.086,1,0.0437,0.12,0.0,0.0584,0.299,129.992,audio_features,2Gh6NdOSPIzfhGq29YPKrQ,spotify:track:2Gh6NdOSPIzfhGq29YPKrQ,https://api.spotify.com/v1/tracks/2Gh6NdOSPIzfhGq29YPKrQ,https://api.spotify.com/v1/audio-analysis/2Gh6NdOSPIzfhGq29YPKrQ,168317,4
13,Sung Si-kyung,粉雪,7iu2GcvG2ITHO03XCMdcv1,0.541,0.863,0,-6.999,1,0.0703,0.0736,0.00115,0.463,0.522,142.829,audio_features,6KrMDGTp9CtkMLKyftDUTD,spotify:track:6KrMDGTp9CtkMLKyftDUTD,https://api.spotify.com/v1/tracks/6KrMDGTp9CtkMLKyftDUTD,https://api.spotify.com/v1/audio-analysis/6KrMDGTp9CtkMLKyftDUTD,346987,4
14,Kid Rock,Roll On,02QPENpZVWiSrrLRXsXNqE,0.57,0.905,9,-4.657,0,0.0599,0.766,0.0,0.0613,0.869,100.958,audio_features,30WI8k8FK2qedQ7EBb74o6,spotify:track:30WI8k8FK2qedQ7EBb74o6,https://api.spotify.com/v1/tracks/30WI8k8FK2qedQ7EBb74o6,https://api.spotify.com/v1/audio-analysis/30WI8k8FK2qedQ7EBb74o6,262659,4
15,Mk.Gee,I Know How You Get,45wc09gWR3WymUNOx9hT8z,0.565,0.602,10,-6.352,0,0.206,0.0654,0.0,0.622,0.661,93.679,audio_features,0ZqRXz3d5RV63ENDigQLuW,spotify:track:0ZqRXz3d5RV63ENDigQLuW,https://api.spotify.com/v1/tracks/0ZqRXz3d5RV63ENDigQLuW,https://api.spotify.com/v1/audio-analysis/0ZqRXz3d5RV63ENDigQLuW,95500,4
16,The Game,Put You On The Game,0e7S689mFbBnIWTWtjc4b4,0.666,0.691,0,-8.331,1,0.246,0.0447,0.0,0.0897,0.495,90.819,audio_features,1YLtKcsXPhvbKiXrfqGB53,spotify:track:1YLtKcsXPhvbKiXrfqGB53,https://api.spotify.com/v1/tracks/1YLtKcsXPhvbKiXrfqGB53,https://api.spotify.com/v1/audio-analysis/1YLtKcsXPhvbKiXrfqGB53,190787,4
17,Buck Owens,Hello Trouble,28YhmBW7McZ5cRkzKJd6dm,0.289,0.2,1,-13.074,1,0.0325,0.974,1.92e-05,0.123,0.208,93.343,audio_features,1a72Mf4vFxHeMWtEFAS9L1,spotify:track:1a72Mf4vFxHeMWtEFAS9L1,https://api.spotify.com/v1/tracks/1a72Mf4vFxHeMWtEFAS9L1,https://api.spotify.com/v1/audio-analysis/1a72Mf4vFxHeMWtEFAS9L1,235627,4
18,Audrey Assad,Even Unto Death,4JnM7UCqVL7Un5GdSK7NpA,0.531,0.676,11,-6.173,0,0.0299,0.0156,0.00287,0.0988,0.544,136.759,audio_features,1comODdI862K7ei34XZRa4,spotify:track:1comODdI862K7ei34XZRa4,https://api.spotify.com/v1/tracks/1comODdI862K7ei34XZRa4,https://api.spotify.com/v1/audio-analysis/1comODdI862K7ei34XZRa4,204733,4
19,Alexis y Fido,Imagínate - Remix,3NUhiMPVAzhVm2sITzNKfO,0.792,0.629,11,-7.165,0,0.335,0.0547,0.0,0.265,0.588,149.167,audio_features,5MUWpxHzlG5M5N2C0T7qs9,spotify:track:5MUWpxHzlG5M5N2C0T7qs9,https://api.spotify.com/v1/tracks/5MUWpxHzlG5M5N2C0T7qs9,https://api.spotify.com/v1/audio-analysis/5MUWpxHzlG5M5N2C0T7qs9,177246,4
20,Tom Rosenthal,Hugging You - Acoustic,7io1erAh1tMxG5VMBC8rVw,0.618,0.453,2,-11.287,1,0.0334,0.369,0.0113,0.0878,0.688,105.552,audio_features,13OK3ZOupPmDYN0sPTYSae,spotify:track:13OK3ZOupPmDYN0sPTYSae,https://api.spotify.com/v1/tracks/13OK3ZOupPmDYN0sPTYSae,https://api.spotify.com/v1/audio-analysis/13OK3ZOupPmDYN0sPTYSae,157240,4
21,Kenny Chesney,Live Those Songs,2gw68CZ9JeYrjZVjUWYa4k,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,audio_features,2mKouqwAIdQnMP43zxR89r,spotify:track:2mKouqwAIdQnMP43zxR89r,https://api.spotify.com/v1/tracks/2mKouqwAIdQnMP43zxR89r,https://api.spotify.com/v1/audio-analysis/2mKouqwAIdQnMP43zxR89r,267093,4
22,Pat Green,Let Me,4cJCNgN7nEF6Y560qcAAaQ,0.429,0.895,0,-4.677,1,0.0412,0.0133,0.00127,0.45,0.455,102.062,audio_features,3Yub3anoLj8w58TVpEXUJv,spotify:track:3Yub3anoLj8w58TVpEXUJv,https://api.spotify.com/v1/tracks/3Yub3anoLj8w58TVpEXUJv,https://api.spotify.com/v1/audio-analysis/3Yub3anoLj8w58TVpEXUJv,321533,4
23,My Darkest Days,Move Your Body,29JkmIEHcUg0R4BQ8o4PmJ,0.772,0.51,4,-9.67,0,0.12,0.0079,0.0,0.131,0.0755,120.049,audio_features,5iGBXzOoRo4sBTy8wdzMyK,spotify:track:5iGBXzOoRo4sBTy8wdzMyK,https://api.spotify.com/v1/tracks/5iGBXzOoRo4sBTy8wdzMyK,https://api.spotify.com/v1/audio-analysis/5iGBXzOoRo4sBTy8wdzMyK,180013,4
24,Richard Swift,Broken Finger Blues,71FYSkmSyrEncuZDqBnPiS,0.529,0.449,0,-8.005,0,0.0426,0.76,2.5e-06,0.0954,0.37,80.776,audio_features,6iNIJ2KAORey3ziLBS5l73,spotify:track:6iNIJ2KAORey3ziLBS5l73,https://api.spotify.com/v1/tracks/6iNIJ2KAORey3ziLBS5l73,https://api.spotify.com/v1/audio-analysis/6iNIJ2KAORey3ziLBS5l73,186335,3
25,Papa Roach,Top of the World,7tP6VKGHimOtw0uYfuCFJJ,0.899,0.576,1,-7.274,0,0.0768,0.171,0.0628,0.909,0.632,134.983,audio_features,4nZVaNOITejdbDqzi1wLSF,spotify:track:4nZVaNOITejdbDqzi1wLSF,https://api.spotify.com/v1/tracks/4nZVaNOITejdbDqzi1wLSF,https://api.spotify.com/v1/audio-analysis/4nZVaNOITejdbDqzi1wLSF,235092,4
26,Leonard Cohen,Treaty,6SgVfpDBuqwuTicIPVHK8K,0.702,0.781,0,-4.706,0,0.0263,0.145,0.0033,0.137,0.794,101.021,audio_features,2zBNt2KTcvDjsknWCeSvF2,spotify:track:2zBNt2KTcvDjsknWCeSvF2,https://api.spotify.com/v1/tracks/2zBNt2KTcvDjsknWCeSvF2,https://api.spotify.com/v1/audio-analysis/2zBNt2KTcvDjsknWCeSvF2,252922,4
27,G Herbo,Bonjour,6y0ZqqWSKjZOVlxDPOYIje,0.626,0.462,4,-14.94,1,0.948,0.759,0.0,0.723,0.633,119.674,audio_features,0r3FMewMvqQcuRN7yMzbnj,spotify:track:0r3FMewMvqQcuRN7yMzbnj,https://api.spotify.com/v1/tracks/0r3FMewMvqQcuRN7yMzbnj,https://api.spotify.com/v1/audio-analysis/0r3FMewMvqQcuRN7yMzbnj,62421,1
